class_name,phash_group_id,split,group_size
acne_vulgaris,acne_vulgaris__phash_001081,train,3
acne_vulgaris,acne_vulgaris__phash_000266,train,2
acne_vulgaris,acne_vulgaris__phash_002195,train,2
acne_vulgaris,acne_vulgaris__phash_001560,train,2
acne_vulgaris,acne_vulgaris__phash_000020,val,2
acne_vulgaris,acne_vulgaris__phash_001228,test,2
acne_vulgaris,acne_vulgaris__phash_002102,train,2
acne_vulgaris,acne_vulgaris__phash_002077,train,2
acne_vulgaris,acne_vulgaris__phash_000568,train,2
acne_vulgaris,acne_vulgaris__phash_001145,train,2
acne_vulgaris,acne_vulgaris__phash_001763,val,2
acne_vulgaris,acne_vulgaris__phash_001229,test,2
acne_vulgaris,acne_vulgaris__phash_001003,train,2
acne_vulgaris,acne_vulgaris__phash_000380,train,2
acne_vulgaris,acne_vulgaris__phash_002427,train,1
acne_vulgaris,acne_vulgaris__phash_001504,train,1
acne_vulgaris,acne_vulgaris__phash_000795,val,1
acne_vulgaris,acne_vulgaris__phash_001007,test,1
acne_vulgaris,acne_vulgaris__phash_001699,train,1
acne_vulgaris,acne_vulgaris__phash_001993,train,1
acne_vulgaris,acne_vulgaris__phash_001749,train,1
acne_vulgaris,acne_vulgaris__phash_000569,train,1
acne_vulgaris,acne_vulgaris__phash_002114,val,1
acne_vulgaris,acne_vulgaris__phash_002270,test,1
acne_vulgaris,acne_vulgaris__phash_001899,train,1
acne_vulgaris,acne_vulgaris__phash_000139,train,1
acne_vulgaris,acne_vulgaris__phash_001848,train,1
acne_vulgaris,acne_vulgaris__phash_001147,train,1
acne_vulgaris,acne_vulgaris__phash_001777,train,1
acne_vulgaris,acne_vulgaris__phash_001246,val,1
acne_vulgaris,acne_vulgaris__phash_001649,test,1
acne_vulgaris,acne_vulgaris__phash_000744,train,1
acne_vulgaris,acne_vulgaris__phash_000319,train,1
acne_vulgaris,acne_vulgaris__phash_002184,train,1
acne_vulgaris,acne_vulgaris__phash_002222,train,1
acne_vulgaris,acne_vulgaris__phash_000767,train,1
acne_vulgaris,acne_vulgaris__phash_001102,val,1
acne_vulgaris,acne_vulgaris__phash_000179,test,1
acne_vulgaris,acne_vulgaris__phash_001187,train,1
acne_vulgaris,acne_vulgaris__phash_001046,train,1
acne_vulgaris,acne_vulgaris__phash_000710,train,1
acne_vulgaris,acne_vulgaris__phash_000679,train,1
acne_vulgaris,acne_vulgaris__phash_000169,val,1
acne_vulgaris,acne_vulgaris__phash_001891,test,1
acne_vulgaris,acne_vulgaris__phash_002291,train,1
acne_vulgaris,acne_vulgaris__phash_001933,train,1
acne_vulgaris,acne_vulgaris__phash_000105,train,1
acne_vulgaris,acne_vulgaris__phash_001911,train,1
acne_vulgaris,acne_vulgaris__phash_000477,train,1
acne_vulgaris,acne_vulgaris__phash_001100,val,1
acne_vulgaris,acne_vulgaris__phash_001174,test,1
acne_vulgaris,acne_vulgaris__phash_002037,train,1
acne_vulgaris,acne_vulgaris__phash_000793,train,1
acne_vulgaris,acne_vulgaris__phash_002014,train,1
acne_vulgaris,acne_vulgaris__phash_000766,train,1
acne_vulgaris,acne_vulgaris__phash_001254,train,1
acne_vulgaris,acne_vulgaris__phash_000941,val,1
acne_vulgaris,acne_vulgaris__phash_001627,test,1
acne_vulgaris,acne_vulgaris__phash_002390,train,1
acne_vulgaris,acne_vulgaris__phash_001376,train,1
acne_vulgaris,acne_vulgaris__phash_001611,train,1
acne_vulgaris,acne_vulgaris__phash_000845,train,1
acne_vulgaris,acne_vulgaris__phash_000216,val,1
acne_vulgaris,acne_vulgaris__phash_002206,test,1
acne_vulgaris,acne_vulgaris__phash_000046,train,1
acne_vulgaris,acne_vulgaris__phash_002100,train,1
acne_vulgaris,acne_vulgaris__phash_001617,train,1
