class_name,left_image_path,right_image_path,left_dhash,right_dhash,left_phash,right_phash,dhash_hamming_distance,phash_hamming_distance,phash_group_id
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__dermnet__07cc4014c6f0d3a6.jpg,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__dermnet__d9110f82c8f17247.jpg,b032bae6c68ccc44,b072bae6c68c4c44,d5885ef10d423bd5,d5885ef10d423bd5,2,0,acne_vulgaris__phash_000020
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__3fb9badeff1156a9.jpeg,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__c9260353ef4870b7.jpeg,f3f17b7b27b3ff7f,f3f17b7b27b3ff7f,a8ca9569e791b525,a8ca9569e791b525,0,0,acne_vulgaris__phash_001228
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__dermnet__ada8c25903f37f5b.jpg,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__dermnet__e1f588f2bd39437c.jpg,f8f0f8f8f8fcfcf8,f8f0f8f8f8f8f8f8,906b6e2f71231e39,916a6e2f70231f39,2,4,acne_vulgaris__phash_000568
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__dermnet__54aa76376f70e784.jpg,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__dermnet__d2a837d88f53e767.jpg,f3c3e1f070f0f8f8,f3c3c1f070f8f8f8,ca6b2b991dd484d6,ca6b2b991dd49496,2,2,acne_vulgaris__phash_000266
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__dermnet__76f802df9b8075a0.jpg,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__02dc47e2d48535ab.jpg,36f2f0f0f0b099c9,36f2f0f0f0b099c9,d0a56bdc47d14c2b,d0a56bdc65d14c2b,0,2,acne_vulgaris__phash_000380
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__c83d54374c2822fa.jpeg,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__d2f4ed71b7b3b25c.jpeg,3838387970f070e0,38383879707070e0,9ff4545404f10cfe,9ff4545404f10cfe,1,0,acne_vulgaris__phash_002077
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__cd39b69a51d03a12.jpg,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/devraj__pacific_train__013d99a8a1bdf63d.jpeg,e4e2d0e2e07899c2,e0e2d0e2f07899c2,c1af609e657a9691,c1af609e657a9691,2,0,acne_vulgaris__phash_002102
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__1c219d5117c16a30.jpg,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__fd85b20f1a31aea8.jpg,98b0e2e264e4e0f1,98b0e2e264e4e0f1,85b87ab725636662,85b87ab725636662,0,0,acne_vulgaris__phash_001003
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__28d363d5f42354a0.jpg,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__4e45fe997b9bb015.jpg,928292b0f0f0f006,928292b0f0f0f006,d1a96590e518f53b,d1a96590e518f53b,0,0,acne_vulgaris__phash_001081
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__28d363d5f42354a0.jpg,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/devraj__pacific_train__96036df27ce63cdd.jpeg,928292b0f0f0f006,928292b0f0f0f006,d1a96590e518f53b,d1a96590e518f53b,0,0,acne_vulgaris__phash_001081
